question_id,category,risk_level,answer,faithfulness,answer_relevancy,context_recall,context_precision
Q001,Stale Guidance,High,Critical-risk AI systems shall undergo adversarial red-team testing at least quarterly. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],1.0,1.0,1.0,0.85
Q002,Stale Guidance,Medium,Security testing results shall be retained for a minimum of seven years. [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf],1.0,1.0,1.0,0.85
Q003,Stale Guidance,High,"Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Section 5 – Incident Management, data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",0.75,1.0,1.0,0.6
Q004,Stale Guidance,High,"Any material change to model architecture, foundation model provider, retrieval corpus, or decision logic shall require re-validation prior to production deployment (AI-SDL-006).",1.0,1.0,1.0,0.7
Q005,Authority Failure,High,"The revised model risk management guidance currently governs model risk management practices [Source: data/documents/current\SR2602.pdf]. This guidance was issued on April 9, 2021 [Source: data/documents/current\SR2602.pdf] and updates the model risk management guidance that was in place since the issuance of SR 11-7 [Source: data/documents/current\SR2602.pdf].",1.0,0.95,0.9,0.85
Q006,Authority Failure,Medium,"Yes, model risk management activities should be tailored according to model risk. A banking organization may tailor portions of its model risk management practices that are relevant to the risks posed by a particular model [Source: data/documents/current\SR2602.pdf]. Not all models present the same level of risk, and practices should be appropriate and effective for managing the specific risks the banking organization faces or is likely to face [Source: data/documents/current\SR2602.pdf].",1.0,1.0,1.0,1.0
Q007,Authority Failure,High,"The current authoritative model risk management guidance is the Revised Guidance on Model Risk Management (Source: data/documents/current\SR2602.pdf). This revised guidance supersedes and replaces SR letter 11-7, Guidance on Model Risk Management, and SR letter 21-8, Interagency Statement on Model Risk Management for Bank Systems Supporting Bank Secrecy Act/Anti-Money Laundering Compliance (Source: data/documents/current\SR2602.pdf).",0.85,1.0,0.0,0.8
Q008,Governance Boundary,Medium,This information is not available in the approved documents.,1.0,0.85,1.0,0.85
Q009,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf].,1.0,1.0,1.0,0.35
Q010,Governance Boundary,Medium,"Potential prompt injection incidents shall be escalated to Information Security within one business day (AI-SDL-010, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",0.85,0.9,0.85,0.65
Q011,Materiality Failure,High,"Yes, changing the foundation model provider is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",1.0,1.0,1.0,0.7
Q012,Materiality Failure,High,"Yes, changing the retrieval corpus is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",1.0,1.0,1.0,0.8
Q013,Materiality Failure,Medium,"Yes, minor prompt modifications that do not materially affect system behavior may be approved through expedited review (AI-SDL-007, [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]).",0.85,1.0,1.0,0.8
Q014,Materiality Failure,High,"Yes, all production AI systems shall maintain immutable audit logs (AI-SDL-008, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",1.0,1.0,1.0,0.4
Q015,Materiality Failure,High,"Critical-risk AI systems shall be monitored continuously for security events and model performance degradation (AI-SDL-009, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",0.85,0.95,1.0,0.75
Q016,Validation Philosophy,High,This information is not available in the approved documents.,1.0,0.8,0.0,0.1
Q017,Authority Failure,High,This information is not available in the approved documents.,0.0,0.95,1.0,0.15
Q018,Materiality Failure,High,"Yes, replacing the foundation model provider requires re-validation prior to production deployment. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",1.0,0.95,1.0,0.2
Q019,Governance Boundary,High,"Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-002].",1.0,0.95,1.0,0.75
Q020,Stale Guidance,Medium,"No, annual red-team testing would not satisfy current AI-SDL requirements for critical-risk AI systems, as they ""shall undergo adversarial red-team testing at least quarterly."" [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]",1.0,1.0,1.0,0.7
